Name,Weight,Value,PrimaryEffect,SecondaryEffect,TertiaryEffect,QuaternaryEffect
Abecean Longfin,0.5,15,Weakness to Frost,Fortify Sneak,Weakness to Poison,Fortify Restoration
Aloe Vera Leaves,0.1,1,Restore Health,Restore Stamina,Damage Magicka,Invisibility
Ancestor Moth Wing,0.1,2,Damage Stamina,Fortify Conjuration,Damage Magicka Regen,Fortify Enchanting
Ash Creep Cluster,0.25,20,Damage Stamina,Invisibility,Resist Fire,Fortify Destruction
Ash Hopper Jelly,0.25,20,Restore Health,Fortify Light Armor,Resist Shock,Weakness to Frost
Ashen Grass Pod,0.1,1,Resist Fire,Weakness to Shock,Fortify Lockpicking,Fortify Sneak
Bear Claws,0.1,2,Restore Stamina,Fortify Health,Fortify One-Handed,Damage Magicka Regen
Bee,0.1,3,Restore Stamina,Ravage Stamina,Regenerate Stamina,Weakness to Shock
Beehive Husk,1,5,Resist Poison,Fortify Light Armor,Fortify Sneak,Fortify Destruction
Berit's Ashes,0.2,5,Damage Stamina,Resist Fire,Fortify Conjuration,Ravage Stamina
Bleeding Crown,0.3,10,Weakness to Fire,Fortify Block,Weakness to Poison,Resist Magic
Blisterwort,0.2,12,Damage Stamina,Restore Health,Frenzy,Fortify Smithing
Blue Butterfly Wing,0.1,2,Damage Stamina,Damage Magicka Regen,Fortify Conjuration,Fortify Enchanting
Blue Dartwing,0.1,1,Resist Shock,Restore Health,Fortify Pickpocket,Fear
Blue Mountain Flower,0.1,2,Restore Health,Fortify Conjuration,Fortify Health,Damage Magicka Regen
Boar Tusk,0.5,2,Fortify Stamina,Fortify Health,Fortify Block,Frenzy
Bone Meal,0.5,5,Damage Stamina,Fortify Conjuration,Resist Fire,Ravage Stamina
Briar Heart,0.5,20,Restore Magicka,Fortify Block,Paralysis,Fortify Magicka
Burnt Spriggan Wood,0.5,20,Weakness to Fire,Fortify Alteration,Damage Magicka Regen,Slow
Butterfly Wing,0.1,3,Restore Health,Lingering Damage Stamina,Fortify Barter,Damage Magicka
Canis Root,0.1,5,Damage Stamina,Fortify Marksman,Fortify One-Handed,Paralysis
Charred Skeever Hide,0.5,1,Restore Stamina,Resist Poison,Cure Disease,Restore Health
Chaurus Eggs,0.2,10,Weakness to Poison,Fortify Stamina,Damage Magicka,Invisibility
Chaurus Hunter Antennae,0.1,2,Damage Stamina,Fortify Conjuration,Damage Magicka Regen,Fortify Enchanting
Chicken's Egg,0.5,2,Resist Magic,Waterbreathing,Damage Magicka Regen,Lingering Damage Stamina
Corrupted Human Heart,1,0,Damage Health,Damage Magicka,Damage Magicka Regen,Frenzy
Creep Cluster,0.2,1,Restore Magicka,Fortify Carry Weight,Damage Stamina Regen,Weakness to Magic
Crimson Nirnroot,0.2,10,Damage Health,Invisibility,Damage Stamina,Resist Magic
Cyrodilic Spadetail,0.3,15,Damage Stamina,Fear,Fortify Restoration,Ravage Health
Daedra Heart,0.5,250,Damage Stamina Regen,Damage Magicka,Restore Health,Fear
Deathbell,0.1,4,Damage Health,Ravage Stamina,Slow,Weakness to Poison
Dragon's Tongue,0.1,5,Resist Fire,Fortify Barter,Fortify Illusion,Fortify Two-Handed
Dwarven Oil,0.3,15,Weakness to Magic,Regenerate Magicka,Fortify Illusion,Restore Magicka
Ectoplasm,0.1,25,Restore Magicka,Fortify Destruction,Fortify Magicka,Damage Health
